Full Results,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
sum_file_path,run_id,input_file_gen_date,scenario,parent_substance,crop_calendar,application_scheme,substance_evaluated,pec_gw,App_ID,Crop,Application Rate,Number of Applications,Interval,Application BBCH,Use BBCH for First or Last,AppDate Crop,Application Type,Injection/Incorporation Depth,Application Frequency
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M2,0.070298,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M3,1.725356,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M11,0.211075,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M52,0.007177,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M54,0.104346,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M55,2.633274,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/1/1.sum,1,05/09/2025,Chateaudun,PXD,Chat-Wcereals,App_ID_1,M56,1.402915,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M2,0.228881,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M3,1.753953,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M11,0.318592,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M52,0.026324,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M54,0.126986,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M55,1.487956,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/2/2.sum,2,05/10/2025,Hamburg,PXD,Hamb-Wcereals,App_ID_1,M56,0.916376,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M2,0.189267,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M3,1.873851,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M11,0.546183,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M52,0.015017,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M54,0.167528,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M55,2.815022,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/3/3.sum,3,05/09/2025,Jokioinen,PXD,Joki-Wcereals,App_ID_1,M56,1.70482,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,PXD,0,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M2,0.15447,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
../1_wintercereals_1x25gha_BBCH11_A/4/4.sum,4,05/09/2025,Kremsmuenster,PXD,Krem-Wcereals,App_ID_1,M3,1.234899,1,winter cereals,25,1,,11,,cereals winter,Broadcast spray,,Annual
